az0_deg,lattice,seed,upto_um,roll_rad,turns,slope_0_to_x_rad_per_um,R2
0,mirror,101,0.25,-0.720103,-0.114608,-8.92897,0.3944
0,mirror,101,0.5,-5.50864,-0.876728,-12.701,0.7970
0,mirror,101,1.0,-23.9274,-3.80816,-24.3359,0.8941
0,mirror,101,2.0,-43.1091,-6.86103,-22.1765,0.9748
0,mirror,101,3.0,-71.4057,-11.3646,-22.9901,0.9860
0,mirror,102,0.25,-10.7551,-1.71173,-49.5528,0.9336
0,mirror,102,0.5,-14.0493,-2.23601,-29.7081,0.8450
0,mirror,102,1.0,-21.5229,-3.42548,-18.3706,0.8499
0,mirror,102,2.0,-32.657,-5.19752,-13.5941,0.9082
0,mirror,102,3.0,-49.7011,-7.91018,-14.1664,0.9584
0,native,101,0.25,-4.64986,-0.740047,-21.1416,0.7806
0,native,101,0.5,-9.41514,-1.49847,-20.8947,0.9084
0,native,101,1.0,-29.0169,-4.61819,-32.2227,0.9582
0,native,101,2.0,-53.4811,-8.51178,-30.8719,0.9760
0,native,101,3.0,-89.5317,-14.2494,-28.6047,0.9832
0,native,102,0.25,-4.66778,-0.7429,-25.3638,0.9371
0,native,102,0.5,-8.79916,-1.40043,-18.9668,0.9474
0,native,102,1.0,-17.4351,-2.77488,-15.8087,0.9662
0,native,102,2.0,-29.4418,-4.68581,-16.0861,0.9889
0,native,102,3.0,-46.4288,-7.38937,-15.1996,0.9784
