az0_deg,lattice,mirror,seed,travel_um,win_lo_um,win_hi_um,n_pts,slope_rad_per_um,R2,omega_rad_s,R2_t,turns_per_um,mean_tau_Nm,omega_pred_tau_over_gamma,closure_meas_over_pred,mean_bound,delta_roll_rad
0,mirror,-1,101,3.0,0.0,0.5,200,-12.701,0.7970,-25.402,0.7970,-2.02142,-1.041184e-21,-32.116,0.7909,2.845,-5.50864
0,mirror,-1,101,3.0,0.5,1.0,200,-42.2812,0.9695,-84.562,0.9695,-6.72926,-1.905380e-21,-58.773,1.4388,2.610,-18.6365
0,mirror,-1,101,3.0,1.0,2.0,400,-22.1991,0.9494,-44.398,0.9494,-3.53309,4.108386e-21,126.73,-0.3503,2.542,-19.8413
0,mirror,-1,101,3.0,2.0,3.0,400,-31.2303,0.9735,-62.461,0.9735,-4.97045,-2.238364e-22,-6.9044,9.0465,2.618,-29.0727
0,mirror,-1,102,3.0,0.0,0.5,200,-29.7081,0.8450,-59.416,0.8450,-4.72818,-1.620045e-21,-49.972,1.1890,2.710,-14.0493
0,mirror,-1,102,3.0,0.5,1.0,200,-19.3933,0.7015,-38.787,0.7015,-3.08654,-8.523370e-22,-26.291,1.4753,2.705,-7.46232
0,mirror,-1,102,3.0,1.0,2.0,400,-13.6462,0.7469,-27.292,0.7469,-2.17186,-7.253766e-22,-22.375,1.2198,2.717,-11.3411
0,mirror,-1,102,3.0,2.0,3.0,400,-22.2427,0.9650,-44.485,0.9650,-3.54003,-1.421049e-21,-43.833,1.0149,2.638,-17.2975
0,native,1,101,3.0,0.0,0.5,200,-20.8947,0.9084,-41.789,0.9084,-3.3255,-1.555546e-21,-47.982,0.8709,2.875,-9.41514
0,native,1,101,3.0,0.5,1.0,200,-38.0673,0.9059,-76.135,0.9059,-6.0586,-2.918205e-21,-90.014,0.8458,2.710,-19.8493
0,native,1,101,3.0,1.0,2.0,400,-21.9044,0.9049,-43.809,0.9049,-3.4862,-1.625049e-21,-50.126,0.8740,2.683,-24.2136
0,native,1,101,3.0,2.0,3.0,400,-36.1387,0.9600,-72.277,0.9600,-5.75165,-2.337057e-21,-72.088,1.0026,2.837,-35.9321
0,native,1,102,3.0,0.0,0.5,200,-18.9668,0.9474,-37.934,0.9474,-3.01865,-9.783462e-22,-30.178,1.2570,2.770,-8.79916
0,native,1,102,3.0,0.5,1.0,200,-16.7388,0.8851,-33.478,0.8851,-2.66407,-1.147490e-21,-35.395,0.9458,2.735,-8.62755
0,native,1,102,3.0,1.0,2.0,400,-14.2283,0.9522,-28.457,0.9522,-2.2645,-4.652482e-22,-14.351,1.9829,2.755,-12.0665
0,native,1,102,3.0,2.0,3.0,400,-22.3805,0.9167,-44.761,0.9167,-3.56196,-7.102499e-22,-21.908,2.0431,2.725,-17.3714
