arm,mirror,v_um_s,n_seeds,attach,A_TZx,A_TZx_sem,mean_xi_nm,sem_xi,mean_theta_rad,sem_theta,tau_Nm,sem_tau,omega_rad_s,sem_omega,turns_per_um,avg_bound,attach_rate_hz,shadow_mean_xi_nm
graded native,+1,2.0000,8,608,-0.0355,0.0681,0.0963,0.1728,0.03604,0.01145,-3.4618e-21,7.7547e-22,0.000,0.000,0.0000,2.694,2338.46,0.1137
graded MIRRORED,-1,2.0000,8,606,0.0136,0.0441,-0.0692,0.1173,-0.03191,0.01358,-2.6390e-21,1.9259e-21,0.000,0.000,0.0000,2.675,2330.77,0.0407
angular-neutral native,+1,2.0000,8,1625,-0.0616,0.0247,0.0849,0.0329,-0.00677,0.03798,-4.9741e-21,3.5344e-21,0.000,0.000,0.0000,7.962,6250.00,0.0632
longitudinal-neutral native,+1,2.0000,8,1626,-0.0040,0.0181,0.1486,0.1441,0.00715,0.01742,-1.5312e-22,2.2464e-21,0.000,0.000,0.0000,5.171,6253.85,0.2558
az0=0,+1,2.0000,8,608,-0.0355,0.0681,0.0963,0.1728,0.03604,0.01145,-3.4618e-21,7.7547e-22,0.000,0.000,0.0000,2.694,2338.46,0.1137
az0=60,+1,2.0000,8,655,0.0092,0.0322,-0.0291,0.1080,-0.01035,0.01114,-3.3367e-21,2.4610e-21,0.000,0.000,0.0000,2.887,2519.23,-0.0866
az0=120,+1,2.0000,8,642,0.0564,0.0318,-0.2441,0.0928,0.02485,0.01068,-1.9359e-21,1.9520e-21,0.000,0.000,0.0000,2.781,2469.23,0.0437
az0=180,+1,2.0000,8,607,0.0147,0.0486,-0.0709,0.1278,0.03123,0.01385,-3.7672e-21,9.2428e-22,0.000,0.000,0.0000,2.647,2334.62,0.0407
az0=240,+1,2.0000,8,647,-0.0102,0.0422,0.0296,0.1426,-0.00310,0.01210,-1.1148e-21,1.7502e-21,0.000,0.000,0.0000,2.840,2488.46,-0.0418
az0=300,+1,2.0000,8,635,-0.0414,0.0327,-0.0257,0.1045,0.03913,0.01713,-3.0183e-21,1.9524e-21,0.000,0.000,0.0000,2.776,2442.31,0.1190
