arm,tau_Nm,omega_rad_s,gamma_from_ratio_Nms,gamma_analytic_Nms,ratio_measured_over_analytic
zone ON  native helix,4.702270e-21,1.344992e+02,3.496131e-23,2.709310e-23,1.2904
zone ON  MIRRORED helix,-6.403294e-21,-2.228066e+02,2.873925e-23,2.709310e-23,1.0608
zone OFF native helix,-1.680804e-21,-5.359993e+01,3.135833e-23,2.709310e-23,1.1574
zone OFF MIRRORED helix,2.357104e-21,6.731481e+01,3.501613e-23,2.709310e-23,1.2924
az0=0 deg,4.702270e-21,1.344992e+02,3.496131e-23,2.709310e-23,1.2904
az0=60 deg,4.900882e-21,1.390856e+02,3.523644e-23,2.709310e-23,1.3006
az0=120 deg,4.321862e-21,1.230580e+02,3.512054e-23,2.709310e-23,1.2963
az0=180 deg,4.054320e-21,1.093649e+02,3.707150e-23,2.709310e-23,1.3683
az0=240 deg,5.167886e-21,1.549675e+02,3.334820e-23,2.709310e-23,1.2309
az0=300 deg,4.337352e-21,1.337155e+02,3.243718e-23,2.709310e-23,1.1972
