arm,n_seeds,attach_total,A_TZ,A_TZ_sem,A_TZ_sigma,mean_delta,mean_delta_sem,mean_delta_sigma,tau_Nm,tau_Nm_sem,tau_Nm_sigma,omega_rad_s,omega_rad_s_sem,omega_rad_s_sigma,turns_per_um,turns_per_um_sem,turns_per_um_sigma,avg_bound,avg_bound_sem,avg_bound_sigma,attach_rate_hz,attach_rate_hz_sem,attach_rate_hz_sigma,tau_per_attach,tau_per_attach_sem,tau_per_attach_sigma,impulse_per_attach,impulse_per_attach_sem,impulse_per_attach_sigma,sign_agree_tau,sign_agree_omega,r_ATZ_tau,r_ATZ_omega
zone ON  native helix,8,1321,0.171448,0.0252232,6.8,-0.0925245,0.013175,7.02,4.70227e-21,7.98708e-22,5.89,134.499,28.6253,4.7,10.7031,2.27793,4.7,7.55832,0.467944,16.2,3669.44,244.893,15,-4.77829e-23,3.97585e-22,0.12,1.30434e-24,1.48782e-25,8.77,8,8,-0.1443,-0.2481
zone ON  MIRRORED helix,8,1300,0.175895,0.0177782,9.89,0.0982941,0.00697151,14.1,-6.40329e-21,4.83565e-22,13.2,-222.807,13.1846,16.9,-17.7304,1.04919,16.9,7.41396,0.443889,16.7,3611.11,240.993,15,1.26331e-21,2.66628e-22,4.74,-1.65569e-24,1.41044e-25,11.7,-8,-8,0.5462,0.5374
zone OFF native helix,8,1330,-0.0396959,0.0303341,1.31,0.0631511,0.0550732,1.15,-1.6808e-21,5.14271e-22,3.27,-53.5999,15.357,3.49,-4.26535,1.22207,3.49,9.78631,0.608361,16.1,3694.44,261.449,14.1,1.45331e-22,2.41122e-22,0.603,-4.22051e-25,1.12038e-25,3.77,-8,-8,-0.0346,-0.0701
zone OFF MIRRORED helix,8,1312,-0.0253485,0.033173,0.764,-0.0771168,0.0658661,1.17,2.3571e-21,4.19359e-22,5.62,67.3148,12.013,5.6,5.35674,0.955966,5.6,9.80709,0.581127,16.9,3644.44,263.807,13.8,2.10212e-23,2.71453e-22,0.0774,6.64034e-25,1.10102e-25,6.03,8,8,0.8168,0.8359
az0=0 deg,8,1321,0.171448,0.0252232,6.8,-0.0925245,0.013175,7.02,4.70227e-21,7.98708e-22,5.89,134.499,28.6253,4.7,10.7031,2.27793,4.7,7.55832,0.467944,16.2,3669.44,244.893,15,-4.77829e-23,3.97585e-22,0.12,1.30434e-24,1.48782e-25,8.77,8,8,-0.1443,-0.2481
az0=60 deg,8,1314,0.199148,0.0342903,5.81,-0.117145,0.0121043,9.68,4.90088e-21,8.50397e-22,5.76,139.086,29.2436,4.76,11.0681,2.32713,4.76,7.49214,0.42811,17.5,3650,242.843,15,-2.92724e-22,3.24218e-22,0.903,1.32576e-24,2.33814e-25,5.67,8,8,-0.2279,0.0610
az0=120 deg,8,1339,0.165959,0.0215114,7.71,-0.096576,0.00709537,13.6,4.32186e-21,1.17566e-21,3.68,123.058,45.3992,2.71,9.79264,3.61275,2.71,7.33188,0.574041,12.8,3719.44,274.551,13.5,1.04515e-23,3.74396e-22,0.0279,1.14642e-24,2.25365e-25,5.09,8,4,-0.3591,-0.2579
az0=180 deg,8,1336,0.211506,0.0284839,7.43,-0.110336,0.012988,8.5,4.05432e-21,1.15807e-21,3.5,109.365,42.4056,2.58,8.70298,3.37453,2.58,7.17342,0.457275,15.7,3711.11,205.352,18.1,-1.90478e-22,3.69481e-22,0.516,1.12696e-24,2.38689e-25,4.72,6,4,-0.7137,-0.6730
az0=240 deg,8,1344,0.200702,0.0285928,7.02,-0.118486,0.0137766,8.6,5.16789e-21,1.11405e-21,4.64,154.967,38.1792,4.06,12.3319,3.0382,4.06,7.0046,0.377639,18.5,3733.33,229.254,16.3,-3.10283e-22,2.90429e-22,1.07,1.25441e-24,2.30777e-25,5.44,6,6,-0.5567,-0.6819
az0=300 deg,8,1296,0.15594,0.0435067,3.58,-0.0926177,0.022842,4.05,4.33735e-21,7.80367e-22,5.56,133.715,29.684,4.5,10.6407,2.36218,4.5,7.29696,0.521357,14,3600,239.304,15,5.11708e-24,3.47967e-22,0.0147,1.1582e-24,1.82866e-25,6.33,8,8,0.2978,0.4482
