arch,L,rho,v_productive_mean,v_sem,n_seed,mean_bound,atp_turnover,lifetime_ms,net_force_pn,peak_load_pn,continuity,two_head_frac
single,40,100.0,0.91000,0.25144,4,0.6770,80.5,0.8460,0.4323,15.808,0.4938,
single,40,150.0,1.16054,0.26388,4,1.0808,131.5,0.8128,0.6018,21.809,0.6363,
single,40,200.0,1.63168,0.32572,4,1.6339,198.5,0.8183,0.8153,23.162,0.7845,
single,40,250.0,1.89184,0.14977,4,1.6421,216.8,0.7596,0.9081,21.853,0.8000,
single,40,300.0,2.06748,0.29069,4,2.2013,276.2,0.8021,0.9903,22.686,0.8746,
single,40,400.0,2.29868,0.04044,4,2.7627,359.2,0.7662,1.0907,27.582,0.9374,
single,40,500.0,2.71291,0.17002,4,3.6616,468.2,0.7760,1.2740,30.725,0.9657,
single,40,600.0,2.70318,0.08321,4,4.3302,564.8,0.7606,1.2702,33.538,0.9889,
single,40,700.0,2.97798,0.11758,4,4.6403,667.5,0.6893,1.3959,35.771,0.9872,
single,40,750.0,2.86981,0.12575,4,5.5689,735.5,0.7526,1.3571,38.190,0.9915,
single,40,1000.0,3.32391,0.12976,4,7.1626,962.5,0.7404,1.5316,40.763,0.9996,
single,40,1500.0,3.81948,0.12582,4,9.4224,1447.5,0.6465,1.7561,48.538,1.0000,
single,40,3000.0,4.22590,0.12863,4,18.5204,2894.8,0.6354,1.8904,73.279,1.0000,
single,60,100.0,0.55769,0.19469,4,0.6281,75.0,0.8416,0.3109,17.516,0.4598,
single,60,150.0,1.12670,0.26057,4,1.0052,126.2,0.7751,0.5501,21.759,0.6308,
single,60,200.0,1.42315,0.30353,4,1.3445,174.0,0.7731,0.6874,26.026,0.7294,
single,60,250.0,1.54891,0.18127,4,1.6138,205.0,0.7852,0.7452,28.526,0.7981,
single,60,300.0,1.82808,0.13624,4,1.8609,245.2,0.7668,0.8911,30.240,0.8440,
single,60,400.0,2.22812,0.08625,4,2.5231,334.8,0.7482,1.0351,35.368,0.9319,
single,60,500.0,2.63792,0.18321,4,3.2303,410.0,0.7830,1.2229,36.784,0.9515,
single,60,600.0,2.65675,0.11047,4,3.7336,496.5,0.7427,1.2589,37.464,0.9721,
single,60,700.0,2.80957,0.15520,4,4.4577,601.0,0.7365,1.3350,41.650,0.9860,
single,60,750.0,3.03247,0.23442,4,4.7681,650.0,0.7275,1.4027,45.243,0.9885,
single,60,1000.0,3.12842,0.11773,4,6.1346,836.5,0.7281,1.4367,50.611,0.9983,
single,60,1500.0,3.79761,0.06971,4,9.1198,1273.8,0.7120,1.7243,64.460,0.9998,
single,60,3000.0,4.10328,0.06074,4,17.6440,2541.5,0.6907,1.8644,102.291,1.0000,
dimer,40,150.0,1.58970,0.35719,2,1.6330,,,,,16.32,0.00022
dimer,40,400.0,1.92384,0.11526,2,3.8167,,,,,16.32,0.00023
dimer,40,700.0,2.58831,0.32757,2,6.2521,,,,,16.32,0.00020
dimer,40,1500.0,2.52663,0.01311,2,12.5503,,,,,162.01,0.00015
dimer,60,150.0,0.92203,0.04718,2,1.4397,,,,,85.33,0.00021
dimer,60,400.0,1.49123,0.43164,2,3.9206,,,,,3735.76,0.00023
dimer,60,700.0,2.67165,0.06371,2,5.9710,,,,,3735.76,0.00023
dimer,60,1500.0,3.25494,0.26165,2,12.2155,,,,,3735.76,0.00020
