parameter,STEP_size,RIGOR_force_clamp,ADP_ATPfree_force_clamp,single_head_gliding,dimer_gliding,matched_length_control,GPU_CPU_equivalence,all_strong_bound_rupture_sensitivity
# legend: D=direct dependence, I=indirect dependence, N=no dependence, U=unknown
atpOn,I,D,D,D,D,I,I,D
onATP_hydrolysis,I,I,I,D,D,I,I,I
offATP_hydrolysis,N,I,I,D,D,I,I,I
onPi_powerstroke,D,I,I,D,D,I,I,I
offPi,N,N,N,I,I,N,I,N
onADP_release,I,I,D,D,D,I,I,D
offADP_release,N,I,I,D,D,I,I,I
alphaCatch,I,D,D,D,D,I,I,D
alphaSlip,I,D,D,D,D,I,I,D
xCatch,I,D,D,D,D,I,I,D
xSlip,I,D,D,D,D,I,I,D
kT,D,D,D,D,D,D,D,D
kOff,N,N,N,N,N,N,N,N
MYO_REBIND_TIME,I,I,I,D,D,I,I,I
myosinBreakForce,N,N,N,I,I,N,I,I
rigor_k0,N,D,I,N,N,N,I,N
rigor_aCatch,N,D,I,N,N,N,I,N
rigor_xCatch,N,D,I,N,N,N,I,N
rigor_aSlip,N,D,I,N,N,N,I,N
rigor_xSlip,N,D,I,N,N,N,I,N
rupture_mode,N,D,I,I,I,N,D,D
adpRupture_k0,N,N,I,N,N,N,N,D
hmm_rupture_thresholds,N,N,N,N,I,N,D,N
myoSpring_F8,D,D,D,D,D,I,I,D
lever_len,D,I,I,D,D,I,I,I
powerstroke_swing,D,I,I,D,D,I,I,I
working_stroke_emergent,D,I,I,D,D,D,I,I
kconv,D,I,I,D,D,I,I,I
kbind,D,I,I,D,D,I,I,I
S2_EA,D,I,D,D,D,I,I,I
S2_EI,I,I,I,D,D,I,I,I
S2_length_L,D,I,D,D,D,I,I,I
S2_k_ax,D,I,D,D,D,I,I,I
S2_l0_segment,I,I,I,I,D,I,D,I
HMM_branchLen,N,N,N,N,D,I,I,N
HMM_SPLAY,N,N,N,N,D,I,I,N
HMM_ALPHA,N,N,N,N,D,I,I,N
HMM_BREI,N,N,N,N,D,I,D,N
HMM_branchEA,N,N,N,N,D,D,D,N
HMM_EXCL,N,N,N,N,D,I,I,N
calib_kAxTension,D,I,D,D,D,I,I,I
calib_kTr,D,N,I,D,D,I,I,N
fixed_anchor,D,D,I,N,N,N,I,I
bindP4_preload,I,I,I,D,D,I,I,I
bindP_angular_25_25_20,N,N,N,I,I,N,I,N
bindP0_distance,N,N,N,N,N,N,N,N
bindP10_margin,N,N,N,D,D,I,D,N
bindP12_ownership,N,N,N,D,D,I,D,N
density_convention_singlehead,N,N,N,D,I,D,I,I
density_convention_dimer,N,N,N,I,D,D,I,N
surface_kz,N,N,N,D,D,I,I,I
seg_length,I,N,N,D,D,D,D,I
nseg_singlehead,N,N,N,D,I,D,I,I
nseg_dimer,N,N,N,I,D,D,I,N
persistence_length,I,N,N,D,D,I,I,I
chain_PAIRS,I,N,N,D,D,I,D,I
rod_drag_fit,I,I,I,D,D,I,I,I
aeta,I,I,I,D,D,I,I,I
BRotCoeff,I,N,N,D,D,I,I,I
brownian_amplitude,D,D,D,D,D,D,D,D
dt_explicit,D,D,D,D,D,D,D,D
dt_lumped,N,N,N,I,I,N,I,N
integrator,D,D,D,D,D,D,D,D
RNG,D,D,D,D,D,D,D,D
GPU_precision,I,I,I,I,I,I,D,I
gpu_production_gate,N,N,N,I,I,N,D,N
velocity_estimator,N,N,N,D,D,D,I,N
trap_stiffness_lasertrap,D,N,N,N,N,N,N,N
force_ladder_sm4,N,D,D,N,N,N,I,D
censoring_horizon,N,D,D,N,N,N,N,D
run_duration_matsoa,N,N,N,D,D,D,I,N
