density,seed,condition,occupancy_nm,velProd_umPerS,meanBoundHeads,boundFrac,continuity,vel_per_bound_head,atp_turnover,net_force_pn,peak_load_pn,invalid_states,solver_failures,rigor_ruptures,steps,wall_s,steps_per_s
150,101,off,0.0,0.808338,0.57825,0.0,0.420625,1.3979,74,0.381385,17.609,0,0,1,40000,82.063,487.43
150,102,off,0.0,1.83193,1.4305,0.0,0.757575,1.28062,169,0.640233,24.6009,0,0,0,40000,83.448,479.34
150,103,off,0.0,1.32552,1.24283,0.0,0.697675,1.06654,153,0.768827,19.4441,0,0,1,40000,80.971,494.004
150,104,off,0.0,0.825844,1.12523,0.0,0.71845,0.733937,128,0.664195,25.5834,0,0,3,40000,80.98,493.949
400,101,off,0.0,2.33247,2.177,0.0,0.9004,1.07142,261,1.06774,23.8865,0,0,2,40000,80.401,497.506
400,102,off,0.0,2.76171,3.18315,0.0,0.948975,0.867603,424,1.11735,25.5784,0,0,5,40000,80.209,498.697
400,103,off,0.0,2.34055,2.7096,0.0,0.9501,0.863797,355,1.12248,31.077,0,0,3,40000,79.695,501.914
400,104,off,0.0,2.53549,3.31273,0.0,0.976325,0.76538,432,1.39344,30.2141,0,0,7,40000,79.035,506.105
700,101,off,0.0,3.02862,4.78388,0.0,0.9973,0.63309,634,1.34884,34.3331,0,0,4,40000,80.735,495.448
700,102,off,0.0,2.92503,5.2955,0.0,0.998325,0.552362,696,1.24105,32.438,0,0,10,40000,85.746,466.494
700,103,off,0.0,2.34135,4.20238,0.0,0.966775,0.557149,571,1.19909,32.6239,0,0,4,40000,83.561,478.692
700,104,off,0.0,2.90665,5.62153,0.0,0.994875,0.517057,724,1.60586,33.3315,0,0,10,40000,82.957,482.178
1500,101,off,0.0,3.78826,9.79648,0.0,0.999975,0.386696,1323,1.64006,65.0992,0,0,14,40000,88.818,450.359
1500,102,off,0.0,3.53296,11.0737,0.0,0.999975,0.319042,1541,1.48401,37.724,0,0,18,40000,86.564,462.086
1500,103,off,0.0,3.58709,9.69173,0.0,1.0,0.370119,1360,1.68927,40.751,0,0,16,40000,88.127,453.89
1500,104,off,0.0,3.49623,11.1994,0.0,0.999975,0.312179,1498,1.86235,50.5205,0,0,22,40000,89.491,446.972
3000,101,off,0.0,4.22278,20.3166,0.0,0.999975,0.207849,2772,1.78125,93.3158,0,0,33,40000,102.599,389.867
3000,102,off,0.0,3.97833,21.4859,0.0,0.999975,0.18516,2958,1.70059,66.3174,0,0,43,40000,103.633,385.977
3000,103,off,0.0,3.87234,19.1567,0.0,1.0,0.20214,2624,1.73346,65.672,0,0,26,40000,103.499,386.477
3000,104,off,0.0,3.94763,20.7795,0.0,1.0,0.189977,2897,2.0209,78.1262,0,0,41,40000,103.32,387.147
150,101,on,5.4,0.808338,0.57825,0.0,0.420625,1.3979,74,0.381385,17.609,0,0,1,40000,90.814,440.461
150,102,on,5.4,1.72394,1.23865,0.0,0.71275,1.39179,154,0.643171,19.1605,0,0,0,40000,89.008,449.398
150,103,on,5.4,1.22277,1.21983,0.0,0.7146,1.00241,137,0.705737,18.9462,0,0,2,40000,87.802,455.57
150,104,on,5.4,0.825844,1.12523,0.0,0.71845,0.733937,128,0.664195,25.5834,0,0,3,40000,87.961,454.747
400,101,on,5.4,2.0059,2.02263,0.0,0.864675,0.991733,246,0.920177,22.948,0,0,3,40000,87.689,456.158
400,102,on,5.4,2.8866,3.12658,0.0,0.978975,0.923248,417,1.13306,25.9521,0,0,7,40000,86.069,464.743
400,103,on,5.4,2.34155,3.0284,0.0,0.937425,0.773198,371,1.12725,25.938,0,0,1,40000,88.784,450.532
400,104,on,5.4,2.21617,3.31315,0.0,0.9502,0.668902,422,1.31624,30.2141,0,0,5,40000,89.384,447.507
700,101,on,5.4,2.76266,4.6949,0.0,0.99225,0.588439,625,1.25744,34.3331,0,0,8,40000,89.985,444.519
700,102,on,5.4,3.36317,5.03698,0.0,0.99655,0.667697,681,1.38488,33.9565,0,0,6,40000,95.817,417.462
700,103,on,5.4,2.79268,4.22508,0.0,0.9908,0.660978,572,1.42225,45.0073,0,0,4,40000,92.702,431.49
700,104,on,5.4,3.23457,5.76873,0.0,0.999025,0.560707,750,1.70452,56.3838,0,0,8,40000,90.468,442.145
1500,101,on,5.4,3.66213,10.015,0.0,0.999975,0.365663,1371,1.61373,67.8216,0,0,14,40000,102.735,389.351
1500,102,on,5.4,3.88817,11.0272,0.0,0.999975,0.352599,1529,1.62089,41.862,0,0,14,40000,104.651,382.223
1500,103,on,5.4,3.89611,9.71793,0.0,1.0,0.40092,1354,1.79182,40.751,0,0,23,40000,102.594,389.886
1500,104,on,5.4,3.55134,11.2382,0.0,0.999975,0.316008,1528,1.87745,51.3606,0,0,17,40000,107.83,370.954
3000,101,on,5.4,4.03469,18.5363,0.0,0.999975,0.217664,2598,1.77335,93.3158,0,0,33,40000,130.792,305.829
3000,102,on,5.4,3.94919,20.7503,0.0,0.999975,0.19032,2908,1.70399,57.8455,0,0,37,40000,133.206,300.287
3000,103,on,5.4,4.13709,19.2689,0.0,1.0,0.214703,2706,1.86758,57.5593,0,0,30,40000,132.943,300.881
3000,104,on,5.4,3.9209,20.1981,0.0,1.0,0.194122,2758,2.02271,70.866,0,0,38,40000,133.634,299.325
