density,seed,condition,occupancy_nm,geometric_candidates,rejects,accepted,same_step_conflicts,rejection_fraction,mean_local_regions,max_local_regions
150,101,off,0.0,0,0,0,0,0.0,0.57825,5
150,102,off,0.0,0,0,0,0,0.0,1.4305,6
150,103,off,0.0,0,0,0,0,0.0,1.24283,6
150,104,off,0.0,0,0,0,0,0.0,1.12523,6
400,101,off,0.0,0,0,0,0,0.0,2.177,10
400,102,off,0.0,0,0,0,0,0.0,3.18315,11
400,103,off,0.0,0,0,0,0,0.0,2.7096,15
400,104,off,0.0,0,0,0,0,0.0,3.31273,15
700,101,off,0.0,0,0,0,0,0.0,4.78388,17
700,102,off,0.0,0,0,0,0,0.0,5.2955,16
700,103,off,0.0,0,0,0,0,0.0,4.20238,20
700,104,off,0.0,0,0,0,0,0.0,5.62153,22
1500,101,off,0.0,0,0,0,0,0.0,9.79648,47
1500,102,off,0.0,0,0,0,0,0.0,11.0737,29
1500,103,off,0.0,0,0,0,0,0.0,9.69173,37
1500,104,off,0.0,0,0,0,0,0.0,11.1994,40
3000,101,off,0.0,0,0,0,0,0.0,20.3166,80
3000,102,off,0.0,0,0,0,0,0.0,21.4859,57
3000,103,off,0.0,0,0,0,0,0.0,19.1567,68
3000,104,off,0.0,0,0,0,0,0.0,20.7795,79
150,101,on,5.4,74,0,74,0,0.0,0.57825,5
150,102,on,5.4,160,5,155,0,0.03125,1.23865,7
150,103,on,5.4,142,2,140,0,0.0140845,1.21983,5
150,104,on,5.4,129,0,129,0,0.0,1.12523,6
400,101,on,5.4,254,5,249,0,0.019685,2.02263,10
400,102,on,5.4,487,66,421,0,0.135524,3.12658,11
400,103,on,5.4,475,98,377,0,0.206316,3.0284,13
400,104,on,5.4,436,12,424,0,0.0275229,3.31315,15
700,101,on,5.4,664,35,629,0,0.0527108,4.6949,16
700,102,on,5.4,785,98,687,1,0.124841,5.03698,16
700,103,on,5.4,691,116,575,0,0.167873,4.22508,20
700,104,on,5.4,887,133,754,0,0.149944,5.76873,21
1500,101,on,5.4,1668,289,1379,0,0.173261,10.015,44
1500,102,on,5.4,2103,565,1538,0,0.268664,11.0272,28
1500,103,on,5.4,1841,482,1359,0,0.261814,9.71793,34
1500,104,on,5.4,1992,452,1540,0,0.226908,11.2382,37
3000,101,on,5.4,4056,1431,2625,0,0.352811,18.5363,72
3000,102,on,5.4,4748,1814,2934,3,0.382056,20.7503,53
3000,103,on,5.4,4350,1622,2728,1,0.372874,19.2689,59
3000,104,on,5.4,4757,1980,2777,0,0.416229,20.1981,67
