record,epsDeg,brownMode,filBrownOn,motBrownBound,motBrownUnbound,atpUM,atpOnEff,eta,dt,durationS,equilFrac,seedNo,epsSign,glide,omegaFit,omega,tau,qOmega,rollR2,avgBound,bindsPerS,detachPerS,strokeRatePerS,preLifeS,postLifeS,residenceS,occNoneB,occAtpB,occAdpPiB,occAdpB,tauPos,tauNeg,nTauPos,nTauNeg,tauSNone,tauSAtp,tauSAdpPi,tauSAdp,tauPre,tauPost,tauPull,tauDrag,nPull,nDrag,fAxPull,fAxDrag,residPullS,residDragS,nDetPull,nDetDrag,vFilMean,invalid,solverFail,rateCapWarns,ruptureEvents,detachAtp,detachRigor,detachOther
atp_u0005.00_e0000_bdso_d00200000_z_101,0,1,0,0,1,5,50,0.01,2.5e-07,0.2,0.25,101,0,-0.09216953069,-2.103410061,-13.461992,-4.366859823e-23,0.9994115625,0.05276835127,29.1993,1320,1280,1313.333333,9.575299401e-05,0.01893872904,0.02281195312,0.9160513551,0,0.004294851817,0.07965379307,1.653304202e-20,-1.657671062e-20,14.83705167,14.36224833,9.362454795e-22,0,-8.256706985e-23,-8.973470078e-22,3.548105554e-22,-3.984791537e-22,-2.33529922e-23,-1.96343783e-23,11.76688667,11.84844667,-1.2579969e-12,1.252217101e-12,0.02202583951,0.02339338699,81,73,-0.09216939824,0,0,0,0,192,0,0
atp_u0005.00_e0000_bdso_d00200000_z_102,0,1,0,0,1,5,50,0.01,2.5e-07,0.2,0.25,102,0,-0.0345704332,-2.440829154,-1.838682024,-6.003591313e-24,0.9928869497,0.1134780332,33.63744333,1540,1473.333333,1540,9.175789474e-05,0.01826320395,0.02283084389,0.9327206596,0,0.004244724108,0.06303461628,2.408778453e-20,-2.409378812e-20,16.72697167,16.91047167,-7.458597311e-22,0,1.497262118e-23,7.248835186e-22,-2.229984283e-22,2.169948369e-22,-9.919210672e-23,9.293558122e-23,13.55954,13.66442,-2.556565832e-14,4.211161577e-14,0.02008624128,0.02333535789,86,95,-0.03457040422,0,0,0,0,221,0,0
atp_u0005.00_e0010_bdso_d00200000_n_101,-1,1,0,0,1,5,50,0.01,2.5e-07,0.2,0.25,101,-1,-0.09218569845,-2.289127116,-13.48744286,-4.37481475e-23,0.99948031,0.05569857224,29.14015333,1333.333333,1293.333333,1326.666667,9.440236686e-05,0.01890707101,0.02253104639,0.9135036009,0,0.004309517474,0.08218688165,1.638575407e-20,-1.642950222e-20,14.86690333,14.27325,7.481577323e-22,0,-7.808860331e-23,-7.138172765e-22,4.515286114e-22,-4.952767589e-22,-1.235390957e-22,8.072114799e-23,11.86525167,11.84815167,-9.955444385e-13,9.896208871e-13,0.0227607125,0.02079084859,80,71,-0.09218560325,0,0,0,0,194,0,0
atp_u0005.00_e0010_bdso_d00200000_n_102,-1,1,0,0,1,5,50,0.01,2.5e-07,0.2,0.25,102,-1,-0.07944920411,-2.675188909,-5.451383647,-1.772880066e-23,0.9968542913,0.11696554,35.80242833,1693.333333,1626.666667,1686.666667,9.208995327e-05,0.01803418575,0.02200968955,0.917776108,0,0.00454126552,0.07768262646,3.039882011e-20,-3.041654891e-20,18.943595,16.85883,1.683424926e-22,0,3.768085262e-23,-2.237521459e-22,-7.937549392e-23,6.164669326e-23,-1.175514379e-22,1.007158658e-22,13.71203333,14.09643333,-1.828410854e-12,1.710933364e-12,0.02334459278,0.01907598276,97,87,-0.07944919997,0,0,0,0,244,0,0
atp_u0005.00_e0010_bdso_d00200000_p_101,1,1,0,0,1,5,50,0.01,2.5e-07,0.2,0.25,101,1,-0.0921521667,-2.070527097,-13.43711255,-4.358748678e-23,0.9994208805,0.05108835101,29.19931,1320,1280,1313.333333,9.574850299e-05,0.01893872904,0.02281196094,0.9154762561,0,0.00429519282,0.08022855106,1.655804878e-20,-1.660163627e-20,14.81467,14.38463833,9.309721577e-22,0,-8.239865458e-23,-8.921609899e-22,3.667030369e-22,-4.102905237e-22,-2.027787421e-23,-2.27433758e-23,11.79135333,11.86402,-1.353666903e-12,1.348073767e-12,0.02074375,0.02240898944,79,71,-0.09215208391,0,0,0,0,192,0,0
atp_u0005.00_e0010_bdso_d00200000_p_102,1,1,0,0,1,5,50,0.01,2.5e-07,0.2,0.25,102,1,-0.07717839546,1.924353969,1.551912995,4.992337767e-24,1.007784563,0.1967969401,36.61607333,1700,1620,1700,9.203419811e-05,0.01787835142,0.0226025144,0.9181059556,0,0.00440107268,0.07749297167,2.790236765e-20,-2.789737531e-20,18.86958167,17.74649,2.985993256e-22,0,2.863468439e-24,-2.964704562e-22,1.517344185e-22,-1.467420808e-22,-2.713641036e-22,2.765360092e-22,14.773135,14.81269333,-1.343660578e-12,1.305587875e-12,0.02053141586,0.02186916935,104,93,-0.07717834993,0,0,0,0,243,0,0
atp_u0005.00_e0020_bdso_d00200000_n_101,-2,1,0,0,1,5,50,0.01,2.5e-07,0.2,0.25,101,-1,-0.09219985041,-1.6076292,-10.0215025,-3.250404551e-23,0.999538932,0.03472047874,29.14015833,1333.333333,1293.333333,1326.666667,9.440680473e-05,0.01890707101,0.02253105026,0.9135034441,0,0.00430968832,0.08218686755,1.635673512e-20,-1.638923917e-20,14.88566333,14.254495,7.501346753e-22,0,-7.850004881e-23,-7.04138672e-22,4.455968404e-22,-4.781008859e-22,-1.273402906e-22,9.566485981e-23,11.86649333,11.83236667,-9.218782927e-13,9.157961168e-13,0.02293892559,0.0220381903,84,67,-0.09219975521,0,0,0,0,194,0,0
atp_u0005.00_e0020_bdso_d00200000_n_102,-2,1,0,0,1,5,50,0.01,2.5e-07,0.2,0.25,102,-1,-0.06572365761,7.146150575,8.247036852,2.667562051e-23,1.002276845,0.5052184652,33.70976833,1546.666667,1453.333333,1540,8.460239362e-05,0.01832238032,0.02319479472,0.9204526818,0,0.004184543738,0.07536277442,2.315243105e-20,-2.312575543e-20,17.199575,16.51018333,-7.762034032e-22,0,2.45488093e-23,7.783302144e-22,-5.23036148e-22,5.497117685e-22,8.871515066e-23,-6.246452732e-23,13.54056333,13.73763833,-1.002919792e-12,1.031105462e-12,0.02082236765,0.02130727907,85,86,-0.06572366589,0,0,0,0,218,0,0
atp_u0005.00_e0020_bdso_d00200000_p_101,2,1,0,0,1,5,50,0.01,2.5e-07,0.2,0.25,101,1,-0.1164429593,0.5723537575,-12.53863642,-4.065634643e-23,0.9998302075,0.001491670201,27.43312,1253.333333,1253.333333,1246.666667,9.85363924e-05,0.01862811392,0.02188812766,0.9032880086,0,0.004601797632,0.09211019381,1.219439797e-20,-1.223505432e-20,13.29134833,14.14177,2.092969435e-22,0,-5.116893155e-23,-1.987843584e-22,7.018593021e-22,-7.425156485e-22,-1.314317588e-22,9.116326992e-23,10.09515333,10.59111667,-2.498240685e-12,2.489938396e-12,0.02305217969,0.02025041288,64,66,-0.116442831,0,0,0,0,188,0,0
atp_u0005.00_e0020_bdso_d00200000_p_102,2,1,0,0,1,5,50,0.01,2.5e-07,0.2,0.25,102,1,-0.05601225214,16.37320809,15.27630535,4.951670516e-23,1.00016323,0.8171640496,32.66848833,1546.666667,1473.333333,1540,8.901710526e-05,0.01861106974,0.02217318213,0.9225645223,0,0.004465669338,0.07296980837,2.304919647e-20,-2.299967977e-20,16.225465,16.44301667,1.594509847e-21,0,-4.278761828e-23,-1.502205523e-21,7.140974846e-22,-6.645807794e-22,1.257123018e-22,-7.626756558e-23,12.216425,12.27881333,-5.441165596e-13,5.513464364e-13,0.02252568466,0.02057733721,88,86,-0.05601221902,0,0,0,0,221,0,0
